,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg
4183,beverages v8 splash smoothies peach mango,37.0,1.22,0.0,0.0,7.76,0.0,7.35,41.0,0.15,0.0,0.0,24.0,29.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.816,0.0819999999999999,0.0,0.24,0.0,0.0,0.0
4184,beverages v8 splash smoothies strawberry banana,37.0,1.22,0.0,0.0,8.16,0.0,7.35,41.0,0.15,0.0,0.0,24.0,29.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.816,0.0819999999999999,0.0,0.24,0.0,0.0,0.0
4185,beverages v8 splash smoothies tropical colada,41.0,1.22,0.0,0.0,8.54,0.4,7.32,41.0,0.15,0.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.813,0.0,0.0,0.24,0.0,0.0,0.0
4187,beverages almond milk unswtnd shelf stable,15.0,0.59,0.0,1.1,0.58,0.0,0.0,197.0,0.35,7.0,10.0,67.0,71.0,0.07,0.0289999999999999,0.042,0.2,0.0,0.06,0.047,0.075,0.015,1.0,0.0,43.0,2.81,1.0
4188,bev choc almond milk unswtnd shelf-stable fort w vit d2  e,21.0,0.83,0.0,1.46,1.25,0.4,0.0,188.0,0.45,10.0,17.0,96.0,75.0,0.07,0.0289999999999999,0.0,0.2,0.0,0.06,0.047,0.075,0.015,1.0,0.0,62.0,4.19,1.0
4189,beverage  coca-cola co glaceau vit h2o revive frt punch fort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,3.384,0.3379999999999999,0.0,1.02,0.0,0.0,0.0
4190,beverages minute maid lemonada limeade,50.0,0.0,0.0,0.0,13.75,0.0,12.92,2.0,0.0,2.0,1.0,10.0,6.0,0.01,0.016,0.0,0.1,3.1,0.002,0.003,0.009,0.004,1.0,0.0,0.0,0.0,0.0
4191,alcoholic bev wine table red,85.0,0.07,0.0,0.0,2.61,0.0,0.62,8.0,0.46,12.0,23.0,127.0,4.0,0.14,0.011,0.132,0.2,0.0,0.005,0.031,0.2239999999999999,0.057,1.0,0.0,0.0,0.0,0.0
4192,alcoholic bev wine table red cabernet sauvignon,83.0,0.07,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4193,alcoholic bev wine table red cabernet franc,83.0,0.07,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4194,alcoholic bev wine table red pinot noir,82.0,0.07,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4195,alcoholic bev wine table red syrah,83.0,0.07,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4196,alcoholic bev wine table red barbera,85.0,0.07,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4197,alcoholic bev wine table red zinfandel,88.0,0.07,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4198,alcoholic bev wine table red petite sirah,85.0,0.07,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4199,alcoholic bev wine table red claret,83.0,0.07,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4200,alcoholic bev wine table white,82.0,0.07,0.0,0.0,2.6,0.0,0.96,9.0,0.27,10.0,18.0,71.0,5.0,0.12,0.004,0.1169999999999999,0.1,0.0,0.005,0.015,0.108,0.05,1.0,0.0,0.0,0.0,0.0
4201,alcoholic bev wine table red lemberger,80.0,0.07,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202,alcoholic bev wine table red sangiovese,86.0,0.07,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4203,alcoholic bev wine table red carignane,74.0,0.07,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4204,alcoholic bev wine table white pinot gris (grigio),83.0,0.07,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4205,alcoholic bev wine table white chenin blanc,80.0,0.07,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4206,alcoholic bev wine table white fume blanc,82.0,0.07,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4207,beverages mxd veg  fruit juc drk w added nutr,29.0,0.04,0.0,0.01,7.47,0.0,2.1,3.0,0.04,1.0,2.0,19.0,21.0,0.01,0.009,0.012,0.1,32.5,0.003,0.004,0.018,0.01,0.0,0.0,104.0,1.63,0.0
4208,alcoholic bev wine table white muller thurgau,76.0,0.07,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4209,beverages carb club soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01,1.0,0.0,2.0,21.0,0.1,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4210,alcoholic bev wine table white gewurztraminer,81.0,0.07,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4211,alcoholic bev wine table white late harvest gewurztraminer,108.0,0.07,0.0,0.0,11.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4212,alcoholic bev wine table white semillon,82.0,0.07,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4213,carbonated bev crm soda,51.0,0.0,0.0,0.0,13.3,0.0,13.3,5.0,0.05,1.0,0.0,1.0,12.0,0.07,0.008,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4214,alcoholic bev wine table white riesling,80.0,0.07,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4215,alcoholic bev wine table white sauvignon blanc,81.0,0.07,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4216,alcoholic bev wine table white late harvest,112.0,0.07,0.0,0.0,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4217,beverages carb ginger ale,34.0,0.0,0.0,0.0,8.76,0.0,8.9,3.0,0.18,1.0,0.0,1.0,7.0,0.05,0.018,0.013,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4218,beverages nestea tea black rtd lemon,36.0,0.0,0.0,0.0,9.09,0.0,9.09,3.0,0.0,1.0,36.0,19.0,21.0,0.06,0.008,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4219,alcoholic bev wine table white pinot blanc,81.0,0.07,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4220,alcoholic bev wine table white muscat,82.0,0.07,0.0,0.0,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4221,beverages carb grape soda,43.0,0.0,0.0,0.0,11.2,0.0,0.0,3.0,0.08,1.0,0.0,1.0,15.0,0.07,0.022,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4222,beverages carb lo cal other than cola or pepper wo caffeine,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4.0,0.04,1.0,0.0,2.0,6.0,0.0,0.025,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4223,beverages carb lemon-lime soda no caffeine,41.0,0.09,0.0,0.0,10.42,0.0,10.38,2.0,0.02,1.0,0.0,1.0,10.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0
4224,beverages carb sprite lemon-lime wo caffeine,40.0,0.05,0.0,0.02,10.14,0.0,8.98,2.0,0.11,1.0,0.0,1.0,9.0,0.04,0.001,0.002,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0
4225,beverages carb lo cal cola or pepper-type w asprt wo caf,1.0,0.12,0.0,0.0,0.12,0.0,0.0,3.0,0.02,0.0,10.0,7.0,4.0,0.01,0.002,0.0,0.1,0.0,0.005,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4226,beverages carb cola wo caffeine,41.0,0.0,0.0,0.0,10.58,0.0,10.58,2.0,0.02,0.0,11.0,3.0,4.0,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4227,beverages carb cola reg,42.0,0.0,0.0,0.25,10.36,0.0,9.94,1.0,0.02,0.0,9.0,5.0,3.0,0.09,0.0069999999999999,0.003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4228,beverages carb red sugar cola contains caffeine  sweeteners,20.0,0.0,0.0,0.0,5.16,0.0,5.16,2.0,0.02,0.0,11.0,3.0,4.0,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4229,beverages carb orange,48.0,0.0,0.0,0.0,12.3,0.0,0.0,5.0,0.06,1.0,1.0,2.0,12.0,0.1,0.015,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4230,bev carb lo cal other than cola or pepper w asprt  caffeine,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4.0,0.04,1.0,0.0,2.0,6.0,0.0,0.025,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231,alcoholic bev wine table red burgundy,86.0,0.07,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4232,beverages carb pepper-type contains caffeine,41.0,0.0,0.07,0.1,10.4,0.0,0.0,3.0,0.04,0.0,11.0,1.0,10.0,0.04,0.006,0.035,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4233,beverages energy drk red bull,43.0,0.46,0.0,0.0,10.23,0.0,10.22,6.0,0.06,19.0,0.0,3.0,39.0,0.01,0.002,0.005,0.2,0.0,0.04,0.103,9.827,2.167,0.0,1.97,0.0,0.0,0.0
4234,beverages carb tonic h2o,34.0,0.0,0.0,0.0,8.8,0.0,8.8,1.0,0.01,0.0,0.0,0.0,12.0,0.1,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4235,beverages energy drk red bull sugar free w added caffeine ,5.0,0.25,0.0,0.08,0.7,0.0,0.0,13.0,0.02,3.0,0.0,3.0,83.0,0.0,0.005,0.003,0.2,0.0,0.025,0.575,8.5,1.995,0.0,1.99,0.0,0.0,0.0
4236,beverages carb root beer,41.0,0.0,0.0,0.0,10.6,0.0,10.6,5.0,0.05,1.0,0.0,1.0,13.0,0.07,0.0069999999999999,0.013,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4237,alcoholic bev wine table red gamay,78.0,0.07,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4238,alcoholic bev wine table red mouvedre,88.0,0.07,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4239,alcoholic bev wine table white chardonnay,84.0,0.07,0.0,0.0,2.16,0.0,0.96,9.0,0.27,10.0,18.0,71.0,5.0,0.12,0.004,0.1169999999999999,0.1,0.0,0.005,0.015,0.108,0.05,1.0,0.0,0.0,0.0,0.0
4240,beverages kiwi strawberry juc drk,47.0,0.0,0.0,0.0,12.26,0.0,11.63,0.0,0.15,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4241,beverages appl juc drk lt fort w vit c,22.0,0.0,0.0,0.1,5.1,0.0,4.8,3.0,0.2,5.0,9.0,51.0,13.0,0.04,0.01,0.0,0.1,24.0,0.004,0.015,0.067,0.018,0.0,0.0,0.0,0.01,0.0
4244,beverages carb limeade hi caffeine,18.0,0.0,0.0,0.11,4.16,0.0,3.97,2.0,0.03,0.0,29.0,19.0,40.0,0.01,0.006,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4245,bev carb lo cal cola or peper-type w na saccharin  caffeine,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.0,0.02,1.0,11.0,4.0,16.0,0.03,0.013,0.009,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4246,beverages powerade zero mxd berry,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.083,0.0,0.25,0.0,0.0,0.0
4247,beverages carob-flavor bev mix pdr,372.0,1.8,0.03,0.2,93.3,8.0,0.0,32.0,4.6,5.0,7.0,104.0,103.0,0.08,0.06,0.063,1.5,0.0,0.009,0.001,0.76,0.124,0.0,0.0,0.0,0.0,0.0
4248,beverages carob-flavor bev mix pdr prep w whl milk,75.0,3.16,1.779,3.11,8.68,0.4,0.0,98.0,0.25,10.0,80.0,131.0,46.0,0.37,0.025,0.006,3.6,0.0,0.042,0.174,0.138,0.04,5.0,0.42,27.0,0.0,0.0
4249,beverages cocnt milk swtnd fort w ca vitamins a b12 d2,31.0,0.21,2.083,2.08,2.92,0.0,2.5,188.0,0.3,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,63.0,0.0,1.0
4251,beve lemonade fruit juc drk lt fort w vit e  c,21.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,2.0,1.0,10.0,5.0,0.01,0.016,0.0,0.1,25.0,0.002,0.003,0.009,0.004,1.0,0.0,0.0,0.56,0.0
4254,beverages coffee brewed brkfst blend,2.0,0.3,0.0,0.0,0.23,0.0,0.0,2.0,0.02,4.0,3.0,50.0,1.0,0.02,0.005,0.032,0.0,0.0,0.02,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
4256,beverages choc syrup prep w whl milk,90.0,3.07,1.681,2.96,12.78,0.3,11.31,89.0,0.32,18.0,90.0,145.0,47.0,0.43,0.09,0.055,3.4,0.0,0.039,0.165,0.1369999999999999,0.032,5.0,0.38,25.0,0.05,0.0
4257,beverages coffee ready to drk iced mocha milk bsd,60.0,1.48,0.0,0.98,11.42,0.0,9.23,52.0,0.09,9.0,59.0,136.0,31.0,0.15,0.002,0.0289999999999999,0.0,0.0,0.053,0.16,0.513,0.0,0.0,0.0,0.0,0.0,0.0
4258,beverages tea oolong brewed,1.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,1.0,1.0,12.0,3.0,0.01,0.0,0.21,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
4260,beverages tea grn ready to drk ginseng  honey swtnd,30.0,0.0,0.0,0.18,7.16,0.0,6.87,3.0,0.02,1.0,0.0,5.0,2.0,0.01,0.005,0.12,0.0,7.7,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4261,beverages the coca-cola company minute maid lemonade,46.0,0.0,0.0,0.0,12.08,0.0,11.67,2.0,0.0,2.0,1.0,10.0,6.0,0.01,0.016,0.0,0.1,3.1,0.002,0.003,0.009,0.004,1.0,0.0,0.0,0.0,0.0
4262,beverages tea grn rtd diet,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.0,0.0,1.0,0.0,5.0,6.0,0.01,0.005,0.12,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4263,beverages tea grn rtd citrus diet fort w vit c,1.0,0.0,0.0,0.0,0.31,0.0,0.0,1.0,0.0,0.0,36.0,13.0,26.0,0.0,0.005,0.077,0.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4265,beverages cocoa mix pdr prep w h2o,55.0,0.92,0.3279999999999999,0.55,11.54,0.5,9.03,21.0,0.17,12.0,43.0,99.0,73.0,0.21,0.048,0.037,0.7,0.0,0.013,0.078,0.081,0.016,1.0,0.05,0.0,0.03,0.0
4269,beverages tea black rtd lemon swtnd,45.0,0.0,0.0,0.22,10.8,0.0,9.49,4.0,0.0,1.0,1.0,14.0,3.0,0.01,0.006,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4270,beverages coffee brewed prep w tap h2o decaffeinated,0.0,0.1,0.002,0.0,0.0,0.0,0.0,2.0,0.05,5.0,1.0,54.0,2.0,0.02,0.0069999999999999,0.027,0.1,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0
4271,beverages coffee brewed espresso rest-prep decaffeinated,9.0,0.1,0.092,0.18,1.69,0.0,0.0,2.0,0.13,80.0,7.0,115.0,14.0,0.05,0.05,0.05,0.0,0.2,0.001,0.177,5.207000000000001,0.002,1.0,0.0,0.0,0.0,0.0
4274,beverages tea grn rtd swtnd,27.0,0.0,0.0,0.22,6.2,0.0,5.32,1.0,0.0,0.0,31.0,12.0,21.0,0.01,0.005,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4275,beverages tea rtd lemon diet,2.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.01,0.005,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4276,beverages coffee brewed prep w tap h2o,1.0,0.12,0.002,0.02,0.0,0.0,0.0,2.0,0.01,3.0,3.0,49.0,2.0,0.02,0.002,0.023,0.0,0.0,0.0139999999999999,0.076,0.191,0.001,2.0,0.0,0.0,0.01,0.0
4277,beverages coffee brewed espresso rest-prep,9.0,0.12,0.092,0.18,1.67,0.0,0.0,2.0,0.13,80.0,7.0,115.0,14.0,0.05,0.05,0.05,0.0,0.2,0.001,0.177,5.207000000000001,0.002,1.0,0.0,0.0,0.01,0.0
4278,beverages tea black rtd lemon diet,1.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,33.0,14.0,17.0,0.0,0.005,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4280,beverages coffee inst reg prep w h2o,2.0,0.1,0.002,0.0,0.34,0.0,0.0,4.0,0.04,4.0,3.0,30.0,4.0,0.01,0.011,0.015,0.1,0.0,0.0,0.001,0.236,0.0,0.0,0.0,0.0,0.0,0.0
4281,beverages aloe vera juc drk fort w vit c,15.0,0.0,0.0,0.0,3.75,0.0,3.75,8.0,0.15,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4282,beverages ocean spray cran grape,54.0,0.21,0.001,0.0,13.16,0.6,12.6,3.0,0.04,1.0,2.0,11.0,19.0,0.03,0.009,0.034,0.0,28.1,0.0,0.0,0.026,0.0,0.0,0.0,1.0,0.0,0.0
4284,beverages coffee inst decaffeinated prep w h2o,2.0,0.12,0.001,0.0,0.43,0.0,0.0,4.0,0.04,4.0,3.0,36.0,4.0,0.01,0.01,0.012,0.2,0.0,0.0,0.0139999999999999,0.282,0.0,0.0,0.0,0.0,0.0,0.0
4285,beverages  ocean spray  cranberry-apple juice drink  bottled,56.0,0.29,0.001,0.0,13.68,0.6,13.12,2.0,0.04,1.0,1.0,14.0,19.0,0.02,0.009,0.023,0.1,29.6,0.003,0.0069999999999999,0.0279999999999999,0.019,0.0,0.0,1.0,0.27,0.0
4286,beverages ocean spray diet cranberry juc,4.0,0.07,0.001,0.0,0.8,0.6,0.25,3.0,0.04,1.0,0.0,8.0,7.0,0.03,0.009,0.015,0.0,39.1,0.0,0.0,0.026,0.0,0.0,0.0,1.0,0.0,0.0
4288,beverages coffee inst chicory,3.0,0.09,0.001,0.0,0.75,0.0,0.0,4.0,0.05,3.0,3.0,35.0,7.0,0.01,0.01,0.012,0.1,0.0,0.0,0.003,0.218,0.0,0.0,0.0,0.0,0.0,0.0
4290,beverages ocean spray lt cranberry  raspberry flav juc,26.0,0.73,0.001,0.0,5.77,0.7,5.02,4.0,0.04,3.0,4.0,47.0,2.0,0.02,0.009,0.031,0.0,32.9,0.0,0.0,0.026,0.0,0.0,0.0,1.0,0.0,0.0
4291,beverages ocean spraywhite cranberry strawberry flav juc drk,49.0,0.22,0.001,0.01,11.98,0.6,11.42,4.0,0.04,2.0,3.0,14.0,3.0,0.04,0.009,0.026,0.1,26.7,0.02,0.06,0.21,0.05,0.0,0.0,1.0,0.0,0.0
4293,beverages  ocean spray  cran raspberry juice drink,49.0,0.28,0.001,0.0,11.96,0.6,11.4,2.0,0.04,1.0,1.0,18.0,14.0,0.02,0.009,0.022,0.1,27.2,0.0,0.0,0.026,0.0,4.0,0.0,1.0,0.0,0.0
4294,beverages ocean spray cran lemonade,45.0,0.07,0.001,0.0,11.12,0.6,10.4,2.0,0.03,1.0,1.0,10.0,52.0,0.01,0.005,0.017,0.1,32.6,0.0,0.0,0.026,0.0,0.0,0.0,1.0,0.0,0.0
4295,bev  ocean spray  cran cherry diet,4.0,0.21,0.001,0.0,0.7,0.6,0.22,1.0,0.04,1.0,0.0,12.0,8.0,0.01,0.009,0.012,0.0,32.8,0.0,0.0,0.026,0.0,0.0,0.0,1.0,0.0,0.0
4297,beverages coffee sub crl grain bev prep w h2o,6.0,0.1,0.01,0.04,1.3,0.4,0.08,4.0,0.08,5.0,10.0,41.0,5.0,0.01,0.013,0.019,1.1,0.0,0.0069999999999999,0.002,0.294,0.012,1.0,0.0,0.0,0.02,0.0
4298,beverages cranberry-apple juc drk btld,63.0,0.0,0.013,0.11,15.85,0.0,14.5,3.0,0.07,1.0,2.0,17.0,2.0,0.02,0.01,0.0289999999999999,0.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
4299,alcoholic bev malt beer hard lemonade,68.0,0.0,0.0,0.0,10.07,0.0,9.77,4.0,0.03,4.0,7.0,27.0,5.0,0.01,0.008,0.006,0.3,2.8,0.006,0.01,0.225,0.022,4.0,0.01,0.0,0.02,0.0
4300,beverages cranberry-apricot juc drk btld,64.0,0.2,0.0,0.0,16.2,0.1,0.0,9.0,0.15,3.0,5.0,61.0,2.0,0.04,0.015,0.125,0.0,0.0,0.005,0.01,0.12,0.02,1.0,0.0,23.0,0.0,0.0
4301,beverages cranberry-grape juc drk btld,56.0,0.2,0.033,0.1,14.0,0.1,0.0,8.0,0.01,3.0,4.0,24.0,3.0,0.04,0.0069999999999999,0.158,0.0,32.0,0.01,0.018,0.12,0.0279999999999999,1.0,0.0,0.0,0.0,0.0
4302,cranberry juc cocktail btld,54.0,0.0,0.009,0.1,13.52,0.0,11.87,3.0,0.1,1.0,1.0,14.0,2.0,0.03,0.01,0.048,0.2,42.3,0.0,0.0,0.0409999999999999,0.0,0.0,0.0,0.0,0.22,0.0
4303,cranberry juc cocktail btld lo cal wca saccharincorn swtnr,19.0,0.02,0.0,0.01,4.6,0.0,4.59,9.0,0.04,2.0,1.0,25.0,3.0,0.02,0.01,0.006,0.0,32.2,0.0,0.002,0.004,0.002,0.0,0.0,0.0,0.05,0.0
4304,beverages eggnog-flavor mix pdr prep w whl milk,95.0,2.93,1.7009999999999998,3.02,14.2,0.0,12.66,92.0,0.12,10.0,77.0,121.0,55.0,0.35,0.022,0.0069999999999999,3.4,0.0,0.04,0.166,0.1119999999999999,0.033,5.0,0.39,26.0,0.06,0.0
4306,beverages tea black ready to drk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4307,alcoholic bev beer lt higher alcohol,46.0,0.25,0.0,0.0,0.77,0.0,0.09,4.0,0.03,5.0,12.0,21.0,4.0,0.01,0.006,0.0,0.4,0.0,0.005,0.015,0.391,0.034,6.0,0.02,0.0,0.0,0.0
4308,beverages amber hard cider,56.0,0.0,0.0,0.0,5.92,0.0,5.92,4.0,0.06,3.0,6.0,54.0,4.0,0.02,0.018,0.018,0.0,2.3,0.009,0.013,0.045,0.021,1.0,0.0,1.0,0.09,0.0
